,url,creator,last_modified_by,product_name,quantity,brands,brands_tags,categories,categories_tags,categories_en,labels,labels_tags,labels_en,countries,countries_tags,countries_en,ingredients_text,ingredients_tags,ingredients_analysis_tags,serving_size,pnns_groups_1,pnns_groups_2,food_groups,food_groups_tags,food_groups_en,states,states_tags,states_en,nutrient_levels_tags,popularity_tags,main_category,main_category_en,image_url,image_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,created_datetime,last_modified_datetime,last_updated_datetime,nutriscore_grade,environmental_score_grade,last_image_datetime
47,1,2,7,1,38,1,1,1,1,1,59,59,59,1,4,4,53,53,46,12,3,3,3,3,3,2,2,2,1,1,1,1,22,22,58,58,55,55,20.0,67.0,45.0,0.0,7.0,
48,1,1,5,1,1,1,1,1,2,2,1,1,1,1,3,3,1,1,1,3,63,63,64,64,64,2,2,2,1,8,2,2,1,1,1,1,1,1,62.0,79.0,47.0,5.0,7.0,18.0
49,1,8,27,1,1,3,3,1,1,1,59,59,59,2,2,2,53,53,46,2,63,63,64,64,64,1,1,1,62,1,6,6,22,22,58,58,55,55,39.0,26.0,49.0,6.0,7.0,38.0
50,1,9,27,1,38,1,1,36,36,36,59,59,59,5,5,5,53,53,46,3,63,63,64,64,64,1,1,1,62,1,36,36,1,1,58,58,55,55,89.0,27.0,51.0,6.0,,37.0
51,1,9,12,1,38,1,1,1,1,1,1,1,1,5,5,5,1,1,17,1,4,2,2,2,2,1,1,1,1,1,1,1,1,1,58,58,55,55,76.0,82.0,49.0,6.0,7.0,49.0
52,1,1,7,1,1,1,1,1,1,1,1,1,1,1,6,6,53,53,46,12,1,1,1,1,1,1,1,1,1,20,4,4,1,1,58,58,55,55,56.0,77.0,11.0,6.0,3.0,55.0
53,1,12,27,1,38,19,19,36,36,36,59,59,59,6,31,31,53,53,46,40,63,63,64,64,64,2,2,2,62,8,36,36,1,1,58,58,55,55,60.0,9.0,47.0,6.0,7.0,17.0
54,1,8,1,15,1,1,1,1,3,3,1,1,1,1,1,1,1,1,17,40,63,63,64,64,64,1,1,1,62,1,6,6,1,1,1,1,1,1,37.0,94.0,67.0,5.0,7.0,84.0
55,1,5,12,1,38,1,1,36,36,36,2,3,3,5,6,6,1,1,6,1,63,63,64,64,64,1,1,1,62,8,36,36,1,1,1,1,1,1,80.0,50.0,22.0,6.0,,61.0
56,1,31,27,1,1,3,3,1,3,3,1,1,1,15,31,31,1,1,6,1,63,63,64,64,64,2,2,2,62,1,6,6,1,1,1,1,1,1,57.0,28.0,47.0,6.0,7.0,16.0
57,1,2,9,1,1,8,8,1,1,1,3,3,3,15,31,31,1,1,3,40,12,3,3,3,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1.0,33.0,47.0,3.0,1.0,0.0
58,1,5,5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,40,63,63,64,64,64,1,1,1,2,1,1,1,1,1,1,1,1,1,77.0,88.0,14.0,0.0,,23.0
